event_record_id,event_id,event_date_id,site_id,person_id,equipment_id,activity_id,cause_id,event_type,severity_class,process_safety_tier,recordable_flag,lost_time_flag,fatality_count,days_lost,restricted_days,spill_volume_l,incident_cost_usd,downtime_hours,regulator_reportable_flag
92,HSE-2026-000092,20260530,7,69,0,38,12,Unsafe Condition,Low,N/A,No,0,0,0,0,0.0,116.18,0.16,0
93,HSE-2022-000093,20220627,3,0,0,20,14,Restricted Work Case,Moderate,N/A,TRUE,FALSE,0,0,4,0.0,18787.82,12.89,0
94,HSE-2023-000094,20231004,7,346,549,45,7,Occupational Illness,Moderate,N/A,TRUE,N,0,0,1 days,0.0,9759.39,3.64,0
95,HSE-2025-000095,20251216,6,2072,273,10,28,Near Miss,High Potential,N/A,FALSE,No,0,0,0,0.0,179.01,0.06,0
96,HSE-2022-000096,20221021,8,1197,439,31,3,First Aid Case,Low,N/A,0,FALSE,0,0,0,0.0,107.3,0.09,0
97,HSE-2024-000097,20241217,2,0,0,10,29,Near Miss,High Potential,N/A,0,0,0,0,0,0.0,71.14,0.17,0
98,HSE-2024-000098,20240529,8,0,114,28,14,Unsafe Condition,Low,N/A,N,FALSE,0,0,0,0.0,105.98,0.16,0
99,HSE-2022-000099,20220402,11,1473,4,18,14,Restricted Work Case,Moderate,N/A,1,0,0,0,26,0.0,3618.45,3.5,0
100,HSE-2025-000100,20250706,2,613,156,27,16,Lost Time Injury,Major,N/A,1,TRUE,0,51,0,0.0,24547.79,25.0,1
101,HSE-2021-000101,20210322,9,1117,0,5,12,Medical Treatment Case,Moderate,N/A,Yes,FALSE,0,0,0,0.0,6895.43,1.68,0
102,HSE-2026-000102,20260812,9,0,401,2,22,Unsafe Condition,Low,N/A,FALSE,FALSE,0,0,0,0.0,16.98,0.35,0
103,HSE-2025-000103,20250821,1,112,0,51,1,Unsafe Condition,Low,N/A,N,No,0,0,0,0.0,61.33,0.33,0
104,HSE-2023-000104,20231110,4,1771,0,18,6,Near Miss,High Potential,N/A,0,No,0,0,0,0.0,35.25,0.01,0
105,HSE-2025-000105,20250604,3,0,453,42,25,Unsafe Condition,Low,N/A,N,0,0,0,0,0.0,18.05,0.3,0
106,HSE-2021-000106,20210807,11,2482,0,33,9,Occupational Illness,Moderate,N/A,Y,No,0,0,7,0.0,8899.36,0.44,0
107,HSE-2024-000107,20240802,6,1405,438,51,22,Medical Treatment Case,Moderate,N/A,TRUE,FALSE,0,0,0,0.0,2127.92,7.2,0
108,HSE-2021-000108,20211209,5,381,0,11,22,Occupational Illness,Moderate,N/A,Y,N,0,0,1,0.0,6482.74,1.02,0
109,HSE-2022-000109,20220124,9,2259,0,38,3,Restricted Work Case,Moderate,N/A,TRUE,N,0,0,1,0.0,27193.04,40.47,0
110,HSE-2023-000110,20231124,10,68,0,25,27,Unsafe Condition,Low,N/A,FALSE,FALSE,0,0,0,0.0,20.06,0.1,0
111,HSE-2021-000111,20210927,11,248,238,6,7,Vehicle Incident / Accident,Moderate,N/A,FALSE,N,0,0,0,0.0,4485.88,1.7,0
112,HSE-2023-000112,20230919,9,519,0,57,15,Occupational Illness,Moderate,N/A,Yes,FALSE,0,0,10,0.0,3834.77,2.06,0
113,HSE-2024-000113,20241219,2,0,599,36,2,Near Miss,High Potential,N/A,No,0,0,0,0,0.0,171.17,0.35,0
114,HSE-2021-000114,20210212,5,549,575,13,6,Process Safety Event,High,Tier 2,FALSE,No,0,0,0,113.69,13494.04,1.32,0
115,HSE-2024-000115,20240618,9,1107,0,15,2,Restricted Work Case,Moderate,N/A,Yes,No,0,0,26,0.0,39718.17,33.54,0
116,HSE-2023-000116,20230123,4,1578,0,4,20,Environmental Non-Conformance,Moderate,N/A,FALSE,FALSE,0,0,0,23.69,1066.8,0.46,1
117,HSE-2022-000117,20220820,1,1367,61,15,11,Medical Treatment Case,Moderate,N/A,Y,No,0,0,0,0.0,20015.28,7.62,0
118,HSE-2025-000118,20250906,1,2387,430,45,15,First Aid Case,Low,N/A,N,N,0,0,0,0.0,126.33,0.41,0
119,HSE-2025-000119,20251128,1,1402,207,27,5,Environmental Non-Conformance,Moderate,N/A,No,N,0,0,0,12.25,1309.98,0.8,1
120,HSE-2025-000120,20250803,2,277,531,52,18,Near Miss,High Potential,N/A,N,N,0,0,0,0.0,215.45,0.06,0
121,HSE-2023-000121,20230427,2,1042,0,33,27,First Aid Case,Low,N/A,N,No,0,0,0,0.0,128.18,0.28,0
122,HSE-2025-000122,20250609,3,2114,0,17,29,Unsafe Condition,Low,N/A,0,N,0,0,0,0.0,54.53,0.02,0
123,HSE-2024-000123,20240421,1,2448,302,45,25,Near Miss,High Potential,N/A,FALSE,FALSE,0,0,0,0.0,59.02,0.3,0
124,HSE-2021-000124,20210707,8,655,0,17,5,Spill / Release,High,N/A,FALSE,FALSE,0,0,0,761.95,37373.6,44.5,1
125,HSE-2025-000125,20251127,4,732,0,18,18,Near Miss,High Potential,N/A,No,No,0,0,0,0.0,45.12,0.01,0
126,HSE-2025-000126,20250724,1,1659,308,45,16,Process Safety Event,High,Tier 2,FALSE,No,0,0,0,760.43,27876.0,92.44,0
127,HSE-2025-000127,20250204,4,1822,203,20,27,Near Miss,High Potential,N/A,No,No,0,0,0,0.0,173.99,0.19,0
128,HSE-2022-000128,20220529,7,0,0,5,3,Near Miss,High Potential,N/A,N,No,0,0,0,0.0,60.56,0.18,0
129,HSE-2023-000129,20230126,5,23,578,15,11,First Aid Case,Low,N/A,0,0,0,0,0,0.0,49.54,0.22,0
130,HSE-2025-000130,20251224,6,354,0,3,24,Near Miss,High Potential,N/A,FALSE,N,0,0,0,0.0,88.9,0.13,0
131,HSE-2025-000131,20250830,11,0,0,45,8,Near Miss,High Potential,N/A,FALSE,N,0,0,0,0.0,36.68,0.19,0
132,HSE-2024-000132,20240605,3,1401,0,20,19,Medical Treatment Case,Moderate,N/A,TRUE,0,0,0,0,0.0,3758.17,7.16,0
133,HSE-2026-000133,20260219,11,0,21,58,28,Spill / Release,High,N/A,N,FALSE,0,0,0,677.94,40959.19,15.76,1
134,HSE-2021-000134,20210119,3,0,0,29,1,Near Miss,High Potential,N/A,No,No,0,0,0,0.0,31.22,0.11,0
135,HSE-2023-000135,20231029,2,1056,178,51,1,Near Miss,High Potential,N/A,No,0,0,0,0,0.0,115.52,0.62,0
136,HSE-2026-000136,20260802,7,1231,0,16,16,Restricted Work Case,Moderate,N/A,1,N,0,0,29,0.0,5481.54,2.44,0
137,HSE-2022-000137,20220803,6,0,475,50,19,Near Miss,High Potential,N/A,No,FALSE,0,0,0,0.0,81.56,0.18,0
138,HSE-2024-000138,20240929,4,2186,471,22,4,First Aid Case,Low,N/A,FALSE,0,0,0,0,0.0,78.73,0.42,0
139,HSE-2025-000139,20250805,10,2174,12,28,14,Medical Treatment Case,Moderate,N/A,TRUE,FALSE,0,0,0,0.0,1541.61,3.34,0
140,HSE-2025-000140,20251011,11,2498,0,58,4,First Aid Case,Low,N/A,N,FALSE,0,0,0,0.0,439.62,0.71,0
141,HSE-2021-000141,20210124,7,2339,143,29,1,Near Miss,High Potential,N/A,FALSE,0,0,0,0,0.0,247.81,0.18,0
142,HSE-2021-000142,20210321,6,498,0,58,11,First Aid Case,Low,N/A,FALSE,No,0,0,0,0.0,188.4,0.12,0
143,HSE-2026-000143,20260430,1,786,166,15,19,Unsafe Condition,Low,N/A,No,No,0,0,0,0.0,61.16,0.22,0
144,HSE-2021-000144,20210506,6,0,305,6,28,Near Miss,High Potential,N/A,No,No,0,0,0,0.0,90.92,0.8,0
145,HSE-2021-000145,20211207,7,2403,0,27,22,First Aid Case,Low,N/A,N,FALSE,0,0,0,0.0,391.94,0.93,0
146,HSE-2022-000146,20220321,9,626,501,51,29,First Aid Case,Low,N/A,No,N,2,0,0,0.0,227.5,0.11,0
147,HSE-2026-000147,20260504,1,1828,61,24,23,Unsafe Condition,Low,N/A,FALSE,FALSE,0,0,0,0.0,152.95,0.15,0
148,HSE-2025-000148,20250206,4,188,0,33,15,Near Miss,High Potential,N/A,No,No,0,0,0,0.0,93.15,0.09,0
149,HSE-2025-000149,20250109,5,1239,100,50,3,First Aid Case,Low,N/A,0,No,0,0,0,0.0,286.69,1.5,0
150,HSE-2025-000150,20250603,5,550,0,17,22,Restricted Work Case,Moderate,N/A,1,FALSE,0,0,26,0.0,7196.58,9.17,0
151,HSE-2021-000151,20210805,11,0,170,31,21,Near Miss,High Potential,N/A,0,N,0,0,0,0.0,75.73,0.21,0
152,HSE-2021-000152,20210506,1,1469,326,16,12,Restricted Work Case,Moderate,N/A,TRUE,N,0,0,17,0.0,20573.53,20.63,0
153,HSE-2024-000153,20240217,8,1822,324,16,28,Near Miss,High Potential,N/A,0,No,0,0,0,0.0,163.17,0.15,0
154,HSE-2026-000154,20260501,6,155,547,32,6,Near Miss,High Potential,N/A,FALSE,0,0,0,0,0.0,251.43,0.19,0
155,HSE-2023-000155,20230904,6,2441,419,51,12,Restricted Work Case,Moderate,N/A,Y,FALSE,0,0,2,0.0,47105.27,7.15,0
156,HSE-2023-000156,20230703,9,424,47,18,12,Environmental Non-Conformance,Moderate,N/A,N,FALSE,0,0,0,24.5,892.09,0.95,1
157,HSE-2025-000157,20250123,10,0,0,39,27,Spill / Release,High,Tier 3,N,0,0,0,0,2464.81,32008.88,31.68,1
158,HSE-2024-000158,20241026,9,1601,311,45,15,Restricted Work Case,Moderate,N/A,TRUE,N,0,0,5,0.0,9470.7,0.44,0
159,HSE-2026-000159,20260514,6,1818,0,55,9,Near Miss,High Potential,N/A,No,No,0,0,0,0.0,46.9,0.01,0
160,HSE-2022-000160,20220524,4,0,0,23,19,Unsafe Condition,Low,N/A,FALSE,0,0,0,0,0.0,28.41,0.34,0
161,HSE-2026-000161,20260530,1,0,0,40,26,Unsafe Condition,Low,N/A,FALSE,FALSE,0,0,0,0.0,48.1,0.1,0
162,HSE-2025-000162,20250923,6,1176,14,42,12,Spill / Release,High,Tier 3,FALSE,0,0,0,0,511.91,15817.8,22.42,1
163,HSE-2024-000163,20241106,3,216,0,18,1,Near Miss,High Potential,N/A,0,No,0,0,0,0.0,73.08,0.11,0
164,HSE-2024-000164,20240624,8,0,399,55,29,Near Miss,High Potential,N/A,N,N,0,0,0,0.0,255.93,0.06,0
165,HSE-2022-000165,20220705,2,0,0,4,11,Near Miss,High Potential,N/A,N,No,0,0,0,0.0,251.7,0.2,0
166,HSE-2021-000166,20210331,6,0,419,21,17,Process Safety Event,High,Tier 2,FALSE,No,0,0,0,2402.41,60341.29,17.34,0
167,HSE-2025-000167,20250112,3,1297,0,49,10,Unsafe Condition,Low,N/A,No,N,0,0,0,0.0,24.61,0.24,0
168,HSE-2024-000168,20240908,3,0,201,8,14,Near Miss,High Potential,N/A,FALSE,N,0,0,0,0.0,62.6,0.06,0
169,HSE-2025-000169,20250319,12,705,0,28,13,Near Miss,High Potential,N/A,FALSE,0,0,0,0,0.0,164.9,0.16,0
170,HSE-2021-000170,20210430,1,1303,0,51,26,Vehicle Incident / Accident,Moderate,N/A,N,No,0,0,0,0.0,5233.2,3.26,0
171,HSE-2025-000171,20250929,3,2214,294,51,11,Near Miss,High Potential,N/A,FALSE,FALSE,0,0,0,0.0,70.41,0.07,0
172,HSE-2025-000172,20251026,3,0,0,50,26,Near Miss,High Potential,N/A,N,FALSE,0,0,0,0.0,117.15,0.32,0
173,HSE-2025-000173,20251127,1,12,259,30,14,Vehicle Incident / Accident,Moderate,N/A,FALSE,FALSE,0,0,0,0.0,11391.74,1.41,0
174,HSE-2021-000174,20210905,1,1297,0,50,12,First Aid Case,Low,N/A,N,FALSE,0,0,0,0.0,141.1,0.33,0
175,HSE-2022-000175,20220825,3,548,206,47,16,Unsafe Condition,Low,N/A,No,FALSE,0,0,0,0.0,18.8,0.65,0
176,HSE-2022-000176,20220616,10,1502,0,55,25,Vehicle Incident / Accident,Moderate,N/A,No,FALSE,0,0,0,0.0,13559.74,3.51,0
177,HSE-2024-000177,20240215,1,1610,0,5,20,Near Miss,High Potential,N/A,No,0,0,0,0,0.0,124.6,0.2,0
178,HSE-2024-000178,20240916,8,1916,0,57,24,Unsafe Condition,Low,N/A,0,0,0,0,0,0.0,40.4,0.03,0
179,HSE-2022-000179,20221130,9,1835,0,52,10,Unsafe Condition,Low,N/A,No,0,0,0,0,0.0,18.8,0.3,0
180,HSE-2025-000180,20250124,8,318,0,58,19,Spill / Release,High,N/A,FALSE,N,0,0,0,130.64,7009.35,10.74,1
181,HSE-2023-000181,20230728,1,0,29,47,7,Spill / Release,High,Tier 3,N,FALSE,0,0,0,130.65,6389.65,6.14,1
182,HSE-2025-000182,20250401,7,2037,0,28,28,Occupational Illness,Moderate,N/A,TRUE,0,0,0,9,0.0,22266.54,0.29,0
183,HSE-2021-000183,20211120,10,839,484,51,24,Near Miss,High Potential,N/A,No,FALSE,0,0,0,0.0,147.86,0.46,0
184,HSE-2021-000184,20210815,8,1149,199,28,14,Vehicle Incident / Accident,Moderate,N/A,FALSE,FALSE,0,0,0,0.0,31988.29,11.7,0
185,HSE-2022-000185,20221126,9,0,0,52,14,Unsafe Condition,Low,N/A,N,FALSE,0,0,0,0.0,54.23,1.59,0
186,HSE-2021-000186,20210316,6,0,410,15,6,Near Miss,High Potential,N/A,0,No,0,0,0,0.0,49.68,0.12,0
187,HSE-2025-000187,20250819,8,0,452,45,23,Near Miss,High Potential,N/A,FALSE,N,0,0,0,0.0,124.36,0.17,0
188,HSE-2025-000188,20251001,11,177,277,43,5,First Aid Case,Low,N/A,No,0,0,0,0,0.0,330.27,1.66,0
189,HSE-2026-000189,20260512,5,0,488,3,7,Process Safety Event,High,Tier 3,FALSE,No,0,0,0,13344.53,382479.32,49.65,0
190,HSE-2023-000190,20230308,4,537,0,25,18,First Aid Case,Low,N/A,FALSE,N,0,0,0,0.0,173.98,0.43,0
191,HSE-2023-000191,20231113,3,0,0,32,15,Near Miss,High Potential,N/A,N,No,0,0,0,0.0,39.58,0.09,0
192,HSE-2025-000192,20250714,1,0,492,42,9,Process Safety Event,High,Tier 1,N,FALSE,0,0,0,1582.38,36533.25,22.52,1
193,HSE-2026-000193,20260726,4,1958,0,27,13,Near Miss,High Potential,N/A,N,No,0,0,0,0.0,62.13,0.05,0
194,HSE-2022-000194,20220724,6,1793,194,22,6,Vehicle Incident / Accident,Moderate,N/A,FALSE,FALSE,0,0,0,0.0,13397.47,7.23,0
195,HSE-2022-000195,20221226,1,227,0,59,8,Unsafe Condition,Low,N/A,0,0,0,0,0,0.0,55.29,0.17,0
196,HSE-2026-000196,20260202,5,461,0,47,23,Unsafe Condition,Low,N/A,0,No,0,0,0,0.0,122.56,0.59,0
197,HSE-2024-000197,20240401,2,330,172,28,11,Vehicle Incident,Moderate,N/A,No,N,0,0,0,0.0,10412.51,4.28,0
198,HSE-2025-000198,20250104,6,1314,383,13,12,Occupational Illness,Moderate,N/A,TRUE,0,0,0,9,0.0,65680.06,16.68,0
199,HSE-2023-000199,20230120,3,652,35,43,25,Medical Treatment Case,Moderate,N/A,Yes,No,0,0,0,0.0,30213.32,15.18,0
200,HSE-2024-000200,20240315,5,0,384,26,10,Property Damage,Moderate,N/A,0,0,0,0,0,0.0,15584.4,4.66,0
