person_id,employee_id,employment_type,contractor_company,department,job_title,age_band_code,years_experience,training_status
172,EMP-00172,Employee,None,Drilling,Assistant Driller,1,7.8,Current
173,EMP-00173,Employee,None,Maintenance,Mechanical Technician,3,9.9,Current
174,EMP-00174,Employee,None,Marine,Marine Supervisor,2,5.1,Current
175,CTR-00175,Contractor,PetroMaint Solutions,Drilling,Driller,3,9.0,Current
176,EMP-00176,Employee,None,Operations,Process Operator,3,3.0,Current
177,CTR-00177,Contractor,Prime Offshore Contractors,Operations,Production Technician,3,13.5,Current
178,EMP-00178,Employee,None,Marine,Marine Technician,2,1.5,Due within 30 days
179,EMP-00179,Employee,None,Engineering,Mechanical Engineer,2,0.8,Current
180,CTR-00180,Contractor,WestCo Services Ltd,Logistics,Forklift Operator,2,2.1,Current
181,EMP-00181,Employee,None,Laboratory,Chemist,3,7.0,Current
182,EMP-00182,Employee,None,Operations,Process Operator,3,4.0,Expired
183,EMP-00183,Employee,None,Marine,Marine Supervisor,2,2.3,Incomplete
184,EMP-00184,Employee,None,Logistics,Warehouse Technician,3,4.2,Due within 30 days
185,EMP-00185,Employee,None,Operations,Production Technician,2,3.4,Current
186,CTR-00186,Contractor,Delta Industrial Services,Security,Security Officer,4,12.9,Current
187,EMP-00187,Employee,None,Marine,Marine Technician,4,9.4,Current
188,EMP-00188,Employee,None,Laboratory,Chemist,2,7.6,Current
189,EMP-00189,Employee,None,Maintenance,Electrical Technician,3,2.3,Current
190,EMP-00190,Employee,None,Security,Security Supervisor,2,6.1,Current
191,EMP-00191,Employee,None,Operations,Process Operator,5,9.3,Current
192,EMP-00192,Employee,None,Projects,Field Engineer,4,3.9,Current
193,EMP-00193,Employee,None,HSE,Occupational Health Officer,2,1.3,Current
194,EMP-00194,Employee,None,Maintenance,Mechanical Technician,1,2.8,Current
195,EMP-00195,Employee,None,Security,Security Officer,3,8.6,Due within 30 days
196,EMP-00196,Employee,None,Marine,Deck Officer,2,6.1,Due within 30 days
197,EMP-00197,Employee,None,Security,Security Officer,3,11.0,Due within 30 days
198,EMP-00198,Employee,None,Logistics,Logistics Coordinator,3,13.0,Current
199,EMP-00199,Employee,None,Projects,QA/QC Inspector,5,9.4,Due within 30 days
200,CTR-00200,Contractor,Coastal Logistics Ltd,Projects,Project Engineer,3,23.7,Current
201,CTR-00201,Contractor,SafeBuild Engineering,Laboratory,Chemist,3,4.8,Current
202,EMP-00202,Employee,None,HSE,Environmental Officer,3,7.2,Expired
203,EMP-00203,Employee,None,Marine,Crane Operator,2,3.8,Current
204,CTR-00204,Contractor,Integrated Drilling Services,Operations,Control Room Operator,4,12.5,Current
205,EMP-00205,Employee,None,Laboratory,Chemist,4,21.8,Expired
206,CTR-00206,Contractor,Coastal Logistics Ltd,Operations,Operations Supervisor,1,1.6,Current
207,EMP-00207,Employee,None,Security,Security Officer,3,7.2,Current
208,EMP-00208,Employee,None,Drilling,Derrickhand,2,4.7,Expired
209,EMP-00209,Employee,None,Maintenance,Instrument Technician,4,11.4,Incomplete
210,CTR-00210,Contractor,Prime Offshore Contractors,Drilling,Drilling Supervisor,3,15.1,Current
211,EMP-00211,Employee,None,Projects,Project Engineer,5,8.9,Current
212,CTR-00212,Contractor,Prime Offshore Contractors,Security,Security Supervisor,2,2.8,Current
213,EMP-00213,Employee,None,Drilling,Drilling Supervisor,1,0.9,Current
214,EMP-00214,Employee,None,Security,Security Officer,2,5.7,Current
215,CTR-00215,Contractor,WestCo Services Ltd,Maintenance,Electrical Technician,3,12.2,Current
216,EMP-00216,Employee,None,Marine,Crane Operator,2,3.4,Current
217,CTR-00217,Contractor,Prime Offshore Contractors,Marine,Crane Operator,4,19.8,Current
218,EMP-00218,Employee,None,Laboratory,Sampling Technician,2,7.0,Current
219,EMP-00219,Employee,None,Laboratory,Chemist,3,7.3,Current
220,EMP-00220,Employee,None,Drilling,Roustabout,2,9.3,Current
221,EMP-00221,Employee,None,Maintenance,Electrical Technician,3,7.4,Current
222,CTR-00222,Contractor,SafeBuild Engineering,Projects,QA/QC Inspector,2,4.7,Expired
223,EMP-00223,Employee,None,Operations,Operations Supervisor,2,17.4,Current
224,CTR-00224,Contractor,SafeBuild Engineering,Drilling,Derrickhand,4,12.3,Current
225,CTR-00225,Contractor,WestCo Services Ltd,Projects,Construction Supervisor,2,8.7,Due within 30 days
226,EMP-00226,employee,None,Logistics,Driver,3,9.2,Current
227,CTR-00227,Contractor,Coastal Logistics Ltd,Security,Security Supervisor,1,2.0,Due within 30 days
228,EMP-00228,Employee,None,HSE,Occupational Health Officer,4,4.0,Current
229,EMP-00229,Employee,None,Engineering,Reliability Engineer,4,15.7,Current
230,CTR-00230,Contractor,Coastal Logistics Ltd,Projects,Construction Supervisor,2,1.9,Current
231,CTR-00231,Contractor,Integrated Drilling Services,Logistics,Forklift Operator,3,15.5,Current
232,EMP-00232,Employee,None,Drilling,Drilling Supervisor,2,7.3,Current
233,CTR-00233,Contractor,Coastal Logistics Ltd,Operations,Production Technician,4,12.7,Current
234,CTR-00234,Contractor,Integrated Drilling Services,Security,Security Supervisor,3,6.7,Current
235,CTR-00235,Contractor,Coastal Logistics Ltd,Engineering,Process Engineer,4,8.9,Expired
236,EMP-00236,Employee,None,Projects,Construction Supervisor,4,11.3,Current
237,EMP-00237,Employee,None,Projects,Field Engineer,2,7.7,Current
238,EMP-00238,Employee,None,Security,Security Officer,2,4.6,Current
239,EMP-00239,Employee,None,Maintenance,Maintenance Supervisor,2,7.0,Expired
240,CTR-00240,Contractor,WestCo Services Ltd,Projects,Construction Supervisor,2,3.3,Current
241,EMP-00241,Employee,None,Marine,Deck Crew,2,3.2,Due within 30 days
242,CTR-00242,Contractor,SafeBuild Engineering,Security,Security Officer,5,17.1,Current
243,CTR-00243,Contractor,SafeBuild Engineering,Security,Security Officer,3,13.5,Current
244,EMP-00244,Employee,None,Logistics,Driver,3,2.8,Current
245,EMP-00245,Employee,None,Drilling,Assistant Driller,2,11.3,Incomplete
246,EMP-00246,Employee,None,Operations,Process Operator,2,9.4,Expired
247,CTR-00247,Contractor,Coastal Logistics Ltd,Marine,Marine Technician,4,20.6,Current
248,CTR-00248,Contractor,WestCo Services Ltd,Maintenance,Mechanical Technician,2,1.7,Current
249,CTR-00249,Contractor,Integrated Drilling Services,Projects,QA/QC Inspector,2,1.8,Current
250,EMP-00250,Employee,None,Marine,Deck Crew,2,10.4,Current
251,CTR-00251,Contractor,Delta Industrial Services,Maintenance,Maintenance Supervisor,2,6.4,Due within 30 days
252,EMP-00252,Employee,None,Drilling,Assistant Driller,2,3.3,Current
253,CTR-00253,Contractor,Integrated Drilling Services,Logistics,Warehouse Technician,3,4.7,Due within 30 days
254,CTR-00254,Contractor,Integrated Drilling Services,Engineering,Mechanical Engineer,3,11.4,Current
255,EMP-00255,Employee,None,Operations,Operations Supervisor,2,6.5,Due within 30 days
256,EMP-00256,Employee,None,Projects,Field Engineer,5,14.7,Current
257,EMP-00257,Employee,None,Engineering,Reliability Engineer,4,16.2,Current
258,CTR-00258,Contractor,Delta Industrial Services,Logistics,Warehouse Technician,3,1.4,Due within 30 days
259,CTR-00259,Contractor,Coastal Logistics Ltd,Laboratory,Chemist,4,10.2,Current
260,EMP-00260,Employee,None,Operations,Control Room Operator,3,15.1,Current
261,EMP-00261,Employee,None,Projects,QA/QC Inspector,4,2.7,Current
262,EMP-00262,Employee,None,Security,Security Supervisor,1,3.1,Current
263,EMP-00263,Employee,None,HSE,Environmental Officer,4,8.7,Current
264,CTR-00264,Contractor,PetroMaint Solutions,HSE,HSE Officer,2,4.5,Expired
265,EMP-00265,Employee,None,Drilling,Roustabout,3,4.2,Current
266,CTR-00266,Contractor,Atlantic Marine Support,Marine,Marine Technician,2,4.5,Expired
267,EMP-00267,Employee,None,HSE,Occupational Health Officer,3,4.8,Current
268,EMP-00268,Employee,None,Operations,Control Room Operator,1,0.9,Current
269,EMP-00269,Employee,None,Laboratory,Chemist,4,9.2,Current
270,EMP-00270,Employee,None,Security,Security Supervisor,2,3.7,Current
271,CTR-00271,Contractor,Delta Industrial Services,Projects,Project Engineer,1,5.0,Incomplete
272,EMP-00272,Employee,None,Marine,Crane Operator,1,1.6,Current
273,CTR-00273,Contractor,Coastal Logistics Ltd,Logistics,Logistics Coordinator,3,1.4,Current
274,CTR-00274,Contractor,WestCo Services Ltd,Projects,QA/QC Inspector,2,3.7,Expired
275,EMP-00275,Employee,None,Operations,Production Technician,4,18.7,Current
276,CTR-00276,Contractor,Prime Offshore Contractors,Projects,Field Engineer,3,2.6,Expired
277,CTR-00277,Contractor,Coastal Logistics Ltd,Maintenance,Maintenance Supervisor,4,8.6,Current
278,CTR-00278,Contractor,Atlantic Marine Support,Laboratory,Laboratory Technician,3,9.7,Current
279,EMP-00279,Employee,None,Laboratory,Laboratory Technician,2,3.5,Current
280,EMP-00280,Employee,None,Maintenance,Mechanical Technician,3,5.9,Current
281,EMP-00281,Employee,None,Drilling,Roustabout,4,12.1,Current
282,EMP-00282,Employee,None,Operations,Production Technician,3,4.2,Current
283,CTR-00283,Contractor,Delta Industrial Services,Security,Security Supervisor,2,2.9,Expired
284,EMP-00284,Employee,None,HSE,Occupational Health Officer,5,3.1,Due within 30 days
285,CTR-00285,Contractor,WestCo Services Ltd,Drilling,Driller,1,1.1,Current
286,CTR-00286,Contractor,Atlantic Marine Support,Maintenance,Electrical Technician,3,15.7,Current
287,EMP-00287,Employee,None,Logistics,Driver,3,4.6,Due within 30 days
288,EMP-00288,Employee,None,Logistics,Driver,2,9.9,Current
289,EMP-00289,Employee,None,Operations,Process Operator,4,21.4,Expired
290,EMP-00290,Employee,None,Logistics,Driver,2,2.3,Current
291,EMP-00291,Employee,None,Marine,Marine Supervisor,3,8.7,Current
292,EMP-00292,Employee,None,Projects,QA/QC Inspector,1,0.8,Expired
293,CTR-00293,Contractor,Integrated Drilling Services,Security,Security Supervisor,3,4.6,Expired
294,EMP-00294,Employee,None,Projects,Field Engineer,2,4.7,Current
295,CTR-00295,Contractor,Atlantic Marine Support,Projects,Field Engineer,4,8.3,Due within 30 days
296,CTR-00296,Contractor,SafeBuild Engineering,Security,Security Supervisor,2,12.5,Current
297,EMP-00297,Employee,None,Drilling,Assistant Driller,4,6.5,Incomplete
298,EMP-00298,Employee,None,Engineering,Mechanical Engineer,3,8.7,Due within 30 days
299,EMP-00299,Employee,None,Marine,Deck Officer,4,6.6,Current
300,EMP-00300,Employee,None,Maintenance,Mechanical Technician,1,4.9,Current
301,CTR-00301,Contractor,SafeBuild Engineering,Operations,Process Operator,2,2.5,Current
302,EMP-00302,Employee,None,Engineering,Electrical Engineer,4,2.7,Current
303,EMP-00303,Employee,None,Laboratory,Sampling Technician,3,4.4,Expired
304,EMP-00304,Employee,None,Engineering,Mechanical Engineer,1,1.4,Current
305,CTR-00305,Contractor,Delta Industrial Services,Logistics,Warehouse Technician,4,13.9,Current
306,CTR-00306,Contractor,SafeBuild Engineering,Logistics,Forklift Operator,4,24.1,Current
307,EMP-00307,Employee,None,Engineering,Mechanical Engineer,3,2.5,Current
308,EMP-00308,Employee,None,Projects,QA/QC Inspector,4,6.2,Due within 30 days
309,EMP-00309,Employee,None,Projects,Project Engineer,3,9.9,Current
310,EMP-00310,Employee,None,Maintenance,Mechanical Technician,3,17.0,Current
311,CTR-00311,Contractor,Coastal Logistics Ltd,HSE,HSE Officer,2,5.7,Due within 30 days
312,CTR-00312,Contractor,Coastal Logistics Ltd,Maintenance,Instrument Technician,4,4.4,Current
313,EMP-00313,Employee,None,Laboratory,Laboratory Technician,2,3.6,Due within 30 days
314,CTR-00314,Contractor,Atlantic Marine Support,Projects,Project Engineer,4,10.5,Current
315,EMP-00315,Employee,None,Engineering,Reliability Engineer,2,3.9,Current
316,EMP-00316,Employee,None,Engineering,Electrical Engineer,2,6.6,Current
317,CTR-00317,Contractor,Atlantic Marine Support,Marine,Marine Supervisor,2,1.9,Current
318,CTR-00318,Contractor,WestCo Services Ltd,HSE,Occupational Health Officer,1,6.0,Current
319,EMP-00319,Employee,None,Laboratory,Laboratory Technician,3,6.8,Current
320,CTR-00320,Contractor,SafeBuild Engineering,HSE,HSE Advisor,1,2.2,Due within 30 days
321,EMP-00321,Employee,None,Security,Security Officer,2,3.9,Current
322,EMP-00322,Employee,None,Laboratory,Sampling Technician,2,9.0,Current
323,EMP-00323,Employee,None,Security,Security Officer,4,25.4,Current
324,EMP-00324,Employee,None,Logistics,Driver,3,3.2,Due within 30 days
325,CTR-00325,Contractor,Coastal Logistics Ltd,Projects,Project Engineer,3,12.3,Current
326,CTR-00326,Contractor,SafeBuild Engineering,Operations,Control Room Operator,1,0.9,Incomplete
327,EMP-00327,Employee,None,Laboratory,Laboratory Technician,4,20.2,Due within 30 days
328,CTR-00328,Contractor,Prime Offshore Contractors,Drilling,Drilling Supervisor,3,8.5,Incomplete
329,EMP-00329,Employee,None,Engineering,Process Engineer,4,10.6,Current
330,EMP-00330,Employee,None,Marine,Deck Officer,2,3.1,Current
331,CTR-00331,Contractor,PetroMaint Solutions,Operations,Production Technician,2,1.7,Incomplete
332,EMP-00332,Employee,None,Engineering,Electrical Engineer,2,3.1,Due within 30 days
333,CTR-00333,Contractor,WestCo Services Ltd,Laboratory,Sampling Technician,4,1.6,Current
