equipment_id,asset_id,asset_type,criticality,install_year,asset_age_years,maintenance_status,inspection_status,home_site_id
81,AST-10-00081,Pressure Vessel,A - Critical,2016,10,Good, In Date ,10
82,AST-11-00082,Centrifugal Pump,B - Important,2002,24,good,In Date,11
83,AST-10-00083,Firewater Pump,C - General,2000,26,Good,In Date,10
84,AST-11-00084,Forklift,A - Critical,2005,21,Good,In Date,11
85,AST-09-00085,Control Valve,B - Important,2005,21,Good,In Date,9
86,AST-08-00086,Heat Exchanger,B - Important,2010,16,Monitor,In Date,8
87,AST-10-00087,Separator,B - Important,2006,20,Maintenance Due,In Date,10
88,AST-10-00088,Separator,B - Important,2007,19,Overdue,Overdue,10
89,AST-07-00089,Pipeline Segment,A - Critical,2007,19,Maintenance Due,Overdue,7
90,AST-02-00090,Separator,B - Important,2003,23,Good,In Date,2
91,AST-09-00091,Forklift,B - Important,2026,0,Good,In Date,9
92,AST-09-00092,Crane,A - Critical,2016,10,Overdue,Overdue,9
93,AST-04-00093,Pressure Vessel,B - Important,2024,2,Monitor,Overdue,4
94,AST-04-00094,Diesel Generator,B - Important,2018,8,Overdue,In Date,4
95,AST-05-00095,Heat Exchanger,B - Important,2000,26,Maintenance Due,In Date,5
96,AST-05-00096,Electrical Switchgear,C - General,2006,20,Good,In Date,5
97,AST-07-00097,Diesel Generator,A - Critical,2011,15,Good,In Date,7
98,AST-01-00098,Crane,A - Critical,2008,18,Monitor,In Date,1
99,AST-03-00099,Forklift,A - Critical,2006,20,Good,Overdue,3
100,AST-05-00100,Diesel Generator,A - Critical,2000,26,Good,In Date,5
101,AST-04-00101,Storage Tank,C - General,2019,7,Good,In Date,4
102,AST-08-00102,Centrifugal Pump,B - Important,2018,8,Good,In Date,8
103,AST-02-00103,Gas Detector,A - Critical,1998,28,Maintenance Due,In Date,2
104,AST-02-00104,Diesel Generator,B - Important,2023,3,Good,In Date,2
105,AST-07-00105,Heat Exchanger,A - Critical,2010,16,Good,In Date,7
106,AST-03-00106,Pressure Vessel,C - General,2011,15,Good,In Date,3
107,AST-09-00107,Gas Detector,C - General,2009,17,Monitor,In Date,9
108,AST-04-00108,Separator,A - Critical,1998,28,Overdue,Overdue,4
109,AST-06-00109,Pipeline Segment,A - Critical,2016,10,Good,Overdue,6
110,AST-05-00110,Heat Exchanger,B - Important,2020,6,Good,Overdue,5
111,AST-08-00111,Control Valve,A - Critical,2023,3,Good,In Date,8
112,AST-07-00112,Firewater Pump,A - Critical,2012,14,Good,Overdue,7
113,AST-09-00113,Pipeline Segment,B - Important,2013,13,Monitor,In Date,9
114,AST-08-00114,Forklift,B - Important,2006,20,Overdue,In Date,8
115,AST-03-00115,Control Valve,A - Critical,2000,26,Good,In Date,3
116,AST-06-00116,Diesel Generator,A - Critical,2009,17,Overdue,In Date,6
117,AST-05-00117,Firewater Pump,A - Critical,2002,24,Maintenance Due,Not Applicable,5
118,AST-01-00118,Forklift,A - Critical,2022,4,Good,In Date,1
119,AST-10-00119,Pipeline Segment,C - General,2025,1,Good,Due within 30 days,10
120,AST-06-00120,Firewater Pump,A - Critical,2020,6,Maintenance Due,In Date,6
121,AST-05-00121,Centrifugal Pump,A - Critical,2009,17,Good,In Date,5
122,AST-02-00122,Compressor,B - Important,2001,25,Good,In Date,2
123,AST-05-00123,Heat Exchanger,C - General,2013,13,Maintenance Due,In Date,5
124,AST-08-00124,Control Valve,C - General,2010,16,Good,In Date,8
125,AST-08-00125,Gas Detector,A - Critical,2023,3,Maintenance Due,Due within 30 days,8
126,AST-11-00126,Forklift,A - Critical,2008,18,Overdue,In Date,11
127,AST-05-00127,Heat Exchanger,C - General,2007,19,Good,In Date,5
128,AST-05-00128,Centrifugal Pump,B - Important,2003,23,Good,Due within 30 days,5
129,AST-04-00129,Heat Exchanger,B - Important,2015,11,Maintenance Due,In Date,4
130,AST-07-00130,Heat Exchanger,A - Critical,2018,8,Good,In Date,7
131,AST-10-00131,Storage Tank,B - Important,2026,0,Good,In Date,10
132,AST-05-00132,Firewater Pump,C - General,2017,9,Good,In Date,5
133,AST-09-00133,Crane,A - Critical,2011,15,Good,In Date,9
134,AST-08-00134,Electrical Switchgear,C - General,2010,16,Good,Overdue,8
135,AST-11-00135,Truck,C - General,2024,2,Monitor,In Date,11
136,AST-05-00136,Crane,A - Critical,2016,10,Good,In Date,5
137,AST-08-00137,Gas Detector,B - Important,1998,28,Overdue,In Date,8
138,AST-04-00138,Truck,A - Critical,1999,27,Good,In Date,4
139,AST-07-00139,Truck,A - Critical,2019,7,Good,In Date,7
140,AST-10-00140,Electrical Switchgear,B - Important,2025,1,Good,In Date,10
141,AST-09-00141,Crane,B - Important,2009,17,Good,Overdue,9
142,AST-05-00142,Firewater Pump,B - Important,2026,0,Good,Not Applicable,5
143,AST-07-00143,Crane,B - Important,2007,19,Good,Due within 30 days,7
144,AST-03-00144,Separator,A - Critical,2005,21,Overdue,Due within 30 days,3
145,AST-11-00145,Truck,A - Critical,2014,12,Good,Not Applicable,11
146,AST-11-00146,Pressure Vessel,A - Critical,2016,10,Monitor,In Date,11
147,AST-06-00147,Forklift,B - Important,2015,11,Good,In Date,6
148,AST-09-00148,Firewater Pump,B - Important,2006,20,Good,In Date,9
149,AST-09-00149,Compressor,B - Important,2025,1,Good,In Date,9
150,AST-11-00150,Crane,B - Important,2004,22,Good,Due within 30 days,11
151,AST-11-00151,Forklift,A - Critical,2009,17,Monitor,Due within 30 days,11
152,AST-01-00152,Heat Exchanger,C - General,2025,1,Maintenance Due,In Date,1
153,AST-08-00153,Storage Tank,B - Important,2013,13,Overdue,In Date,8
154,AST-07-00154,Heat Exchanger,B - Important,2020,6,Good,In Date,7
155,AST-04-00155,Crane,A - Critical,2000,26,Overdue,Overdue,4
156,AST-02-00156,Control Valve,B - Important,2009,17,Good,In Date,2
157,AST-04-00157,Pressure Vessel,A - Critical,2017,9,Good,In Date,4
158,AST-06-00158,Control Valve,C - General,2011,15,Good,In Date,6
159,AST-01-00159,Gas Detector,B - Important,2014,12,Good,In Date,1
160,AST-09-00160,Pressure Vessel,B - Important,2025,1,Good,In Date,9
161,AST-10-00161,Electrical Switchgear,A - Critical,1999,27,Good,In Date,10
162,AST-09-00162,Diesel Generator,A - Critical,2024,2,Good,Due within 30 days,9
163,AST-11-00163,Gas Detector,C - General,2008,18,Overdue,In Date,11
164,AST-04-00164,Control Valve,B - Important,2026,0,Good,Due within 30 days,4
165,AST-04-00165,Separator,B - Important,2005,21,Maintenance Due,Due within 30 days,4
166,AST-01-00166,Storage Tank,A - Critical,2002,24,Maintenance Due,In Date,1
167,AST-09-00167,Crane,C - General,2009,17,Monitor,In Date,9
168,AST-01-00168,Storage Tank,A - Critical,2020,6,Overdue, Overdue ,1
169,AST-07-00169,Gas Detector,B - Important,2006,20,Maintenance Due,In Date,7
170,AST-11-00170,Pipeline Segment,A - Critical,2002,24,Good,In Date,11
171,AST-08-00171,Diesel Generator,A - Critical,2019,7,Good,In Date,8
172,AST-02-00172,Pipeline Segment,A - Critical,2026,0,Good,In Date,2
173,AST-01-00173,Storage Tank,A - Critical,2017,9,Good,In Date,1
174,AST-07-00174,Forklift,A - Critical,2007,19,Good,Overdue,7
175,AST-04-00175,Gas Detector,C - General,2018,8,Overdue,Overdue,4
176,AST-02-00176,Pipeline Segment,A - Critical,2005,21,Maintenance Due,In Date,2
177,AST-10-00177,Diesel Generator,B - Important,1999,27,Overdue,In Date,10
178,AST-02-00178,Centrifugal Pump,B - Important,2005,21,Good,In Date,2
179,AST-08-00179,Firewater Pump,B - Important,2002,24,Overdue,Due within 30 days,8
180,AST-07-00180,Compressor,A - Critical,2018,8,Good,In Date,7
181,AST-04-00181,Electrical Switchgear,C - General,2023,3,Good,In Date,4
182,AST-09-00182,Pressure Vessel,C - General,2009,17,Monitor,In Date,9
183,AST-02-00183,Truck,B - Important,2007,19,Good,In Date,2
184,AST-10-00184,Firewater Pump,A - Critical,2005,21,Monitor,In Date,10
185,AST-01-00185,Separator,A - Critical,2008,18,Good,In Date,1
186,AST-02-00186,Truck,A - Critical,2020,6,Maintenance Due,In Date,2
187,AST-01-00187,Centrifugal Pump,C - General,2013,13,Good,In Date,1
188,AST-01-00188,Control Valve,C - General,2020,6,Good,In Date,1
189,AST-05-00189,Firewater Pump,A - Critical,2023,3,Good,Due within 30 days,5
190,AST-08-00190,Diesel Generator,B - Important,2026,0,Good,In Date,8
191,AST-06-00191,Pressure Vessel,B - Important,2000,26,Good,In Date,6
192,AST-04-00192,Electrical Switchgear,B - Important,2020,6,Good,In Date,4
193,AST-01-00193,Firewater Pump,A - Critical,2015,11,Good,In Date,1
194,AST-06-00194,Pipeline Segment,A - Critical,2024,2,Maintenance Due,In Date,6
195,AST-11-00195,Diesel Generator,B - Important,2011,15,Overdue,Overdue,11
196,AST-03-00196,Firewater Pump,A - Critical,2009,17,Overdue,Overdue,3
197,AST-05-00197,Control Valve,A - Critical,2008,18,Maintenance Due,In Date,5
198,AST-05-00198,Gas Detector,C - General,2024,2,Maintenance Due,Due within 30 days,5
199,AST-08-00199,Pressure Vessel,B - Important,2024,2,Maintenance Due,Due within 30 days,8
200,AST-04-00200,Crane,A - Critical,2018,8,Maintenance Due,In Date,4
201,AST-03-00201,Crane,A - Critical,2009,17,Overdue,In Date,3
202,AST-03-00202,Pressure Vessel,B - Important,2014,12,Maintenance Due,In Date,3
203,AST-04-00203,Gas Detector,A - Critical,2022,4,Good,In Date,4
204,AST-11-00204,Storage Tank,A - Critical,2011,15,Good,In Date,11
205,AST-10-00205,Electrical Switchgear,B - Important,2003,23,Good,In Date,10
206,AST-03-00206,Pipeline Segment,B - Important,2017,9,Monitor,Not Applicable,3
207,AST-01-00207,Forklift,A - Critical,2015,11,Overdue,Due within 30 days,1
208,AST-06-00208,Truck,B - Important,2023,3,Good,In Date,6
209,AST-04-00209,Compressor,B - Important,2004,22,Overdue,Overdue,4
210,AST-06-00210,Forklift,A - Critical,2002,24,Maintenance Due,Due within 30 days,6
211,AST-03-00211,Storage Tank,B - Important,2022,4,Good,Not Applicable,3
212,AST-09-00212,Compressor,B - Important,1998,28,Monitor,Not Applicable,9
213,AST-03-00213,Truck,C - General,2023,3,Overdue,In Date,3
214,AST-01-00214,Heat Exchanger,B - Important,2014,12,Maintenance Due,In Date,1
215,AST-07-00215,Storage Tank,C - General,2013,13,Maintenance Due,In Date,7
216,AST-09-00216,Diesel Generator,B - Important,2001,25,Good,Due within 30 days,9
217,AST-06-00217,Forklift,A - Critical,2002,24,Overdue,In Date,6
218,AST-10-00218,Pipeline Segment,A - Critical,2009,17,Maintenance Due,Due within 30 days,10
219,AST-05-00219,Diesel Generator,B - Important,2011,15,Good,In Date,5
220,AST-08-00220,Control Valve,A - Critical,2000,26,Maintenance Due,In Date,8
221,AST-04-00221,Truck,B - Important,2003,23,Maintenance Due,In Date,4
222,AST-01-00222,Gas Detector,A - Critical,2011,15,Maintenance Due,In Date,1
223,AST-02-00223,Truck,C - General,2021,5,Maintenance Due,Due within 30 days,2
224,AST-06-00224,Electrical Switchgear,A - Critical,2021,5,Monitor,In Date,6
225,AST-01-00225,Compressor,B - Important,2000,26,Overdue,Overdue,1
226,AST-04-00226,Control Valve,A - Critical,2025,1,Overdue,Overdue,4
227,AST-09-00227,Gas Detector,B - Important,2013,13,Good,In Date,9
228,AST-09-00228,Control Valve,B - Important,2026,0,Good,In Date,9
229,AST-11-00229,Compressor,A - Critical,2014,12,Good,Due within 30 days,11
230,AST-10-00230,Diesel Generator,B - Important,2022,4,Monitor,In Date,10
231,AST-06-00231,Firewater Pump,A - Critical,2015,11,Maintenance Due,In Date,6
232,AST-05-00232,Control Valve,A - Critical,2013,13,Good,In Date,5
233,AST-08-00233,Heat Exchanger,B - Important,2022,4,Maintenance Due,In Date,8
234,AST-10-00234,Centrifugal Pump,C - General,2014,12,Maintenance Due,Not Applicable,10
235,AST-09-00235,Heat Exchanger,A - Critical,2001,25,Monitor,In Date,9
236,AST-02-00236,Compressor,C - General,2016,10,Good,In Date,2
237,AST-06-00237,Gas Detector,C - General,2023,3,Good,In Date,6
238,AST-11-00238,Diesel Generator,B - Important,2001,25,Good,In Date,11
239,AST-04-00239,Gas Detector,B - Important,2014,12,Good,In Date,4
240,AST-09-00240,Firewater Pump,B - Important,2002,24,Good,Due within 30 days,9
241,AST-02-00241,Pipeline Segment,B - Important,2001,25,Overdue,Due within 30 days,2
242,AST-08-00242,Gas Detector,B - Important,2013,13,Monitor,Overdue,8
243,AST-07-00243,Crane,B - Important,2013,13,Good,In Date,7
244,AST-02-00244,Storage Tank,C - General,2024,2,Good,Due within 30 days,2
245,AST-08-00245,Centrifugal Pump,B - Important,1998,28,Good,In Date,8
246,AST-04-00246,Separator,B - Important,2023,3,Maintenance Due,Overdue,4
247,AST-01-00247,Centrifugal Pump,C - General,2008,18,Overdue,Overdue,1
248,AST-05-00248,Truck,B - Important,2004,22,Maintenance Due,In Date,5
249,AST-08-00249,Truck,B - Important,2024,2,Good,Overdue,8
250,AST-07-00250,Electrical Switchgear,A - Critical,2020,6,Good,In Date,7
251,AST-11-00251,Firewater Pump,B - Important,1999,27,Overdue,In Date,11
252,AST-04-00252,Heat Exchanger,A - Critical,2013,13,Maintenance Due,Due within 30 days,4
253,AST-04-00253,Separator,B - Important,2026,0,Good,In Date,4
254,AST-01-00254,Separator,A - Critical,2005,21,Good,In Date,1
255,AST-02-00255,Compressor,A - Critical,2024,2,Monitor,In Date,2
256,AST-09-00256,Centrifugal Pump,A - Critical,2018,8,Good,In Date,9
257,AST-04-00257,Centrifugal Pump,B - Important,2000,26,Monitor,In Date,4
258,AST-04-00258,Compressor,B - Important,2024,2,Good, Due within 30 days ,4
259,AST-01-00259,Crane,A - Critical,2013,13,Good,Overdue,1
260,AST-04-00260,Pressure Vessel,B - Important,2003,23,Maintenance Due,In Date,4
261,AST-11-00261,Pressure Vessel,B - Important,2007,19,Good,In Date,11
262,AST-08-00262,Pressure Vessel,C - General,2005,21,Maintenance Due,In Date,8
263,AST-03-00263,Centrifugal Pump,B - Important,2009,17,Maintenance Due,In Date,3
264,AST-02-00264,Compressor,B - Important,2026,0,Good,In Date,2
265,AST-10-00265,Separator,A - Critical,1998,28,Maintenance Due,In Date,10
266,AST-08-00266,Crane,B - Important,2003,23,Maintenance Due,Due within 30 days,8
267,AST-08-00267,Electrical Switchgear,A - Critical,2002,24,Good,Overdue,8
268,AST-07-00268,Pressure Vessel,B - Important,2002,24,Overdue,Overdue,7
269,AST-09-00269,Centrifugal Pump,A - Critical,2010,16,Maintenance Due,Not Applicable,9
270,AST-07-00270,Diesel Generator,B - Important,2006,20,Good,Due within 30 days,7
271,AST-05-00271,Compressor,B - Important,2008,18,Good,Overdue,5
272,AST-10-00272,Pipeline Segment,A - Critical,2010,16,Good,Overdue,10
273,AST-06-00273,Pressure Vessel,B - Important,2017,9,Good,In Date,6
274,AST-01-00274,Centrifugal Pump,A - Critical,2022,4,Good,Due within 30 days,1
275,AST-07-00275,Diesel Generator,B - Important,2004,22,Monitor,In Date,7
276,AST-01-00276,Electrical Switchgear,B - Important,2017,9,Monitor,In Date,1
277,AST-11-00277,Crane,B - Important,2019,7,Good,In Date,11
278,AST-06-00278,Truck,B - Important,2018,8,Overdue,Due within 30 days,6
279,AST-07-00279,Pipeline Segment,A - Critical,2001,25,Good,In Date,7
280,AST-07-00280,Control Valve,A - Critical,2008,18,Good,Due within 30 days,7
281,AST-07-00281,Crane,C - General,2000,26,Overdue,In Date,7
282,AST-04-00282,Storage Tank,B - Important,2004,22,Maintenance Due,In Date,4
283,AST-01-00283,Control Valve,A - Critical,2002,24,Overdue,Overdue,1
284,AST-04-00284,Electrical Switchgear,B - Important,2015,11,Good,Due within 30 days,4
285,AST-07-00285,Heat Exchanger,A - Critical,2008,18,Good,In Date,7
286,AST-07-00286,Pressure Vessel,B - Important,2007,19,Overdue,Overdue,7
287,AST-02-00287,Centrifugal Pump,B - Important,2013,13,Good,In Date,2
288,AST-04-00288,Heat Exchanger,A - Critical,2012,14,Good,Due within 30 days,4
289,AST-08-00289,Heat Exchanger,C - General,2007,19,Good,Due within 30 days,8
290,AST-01-00290,Firewater Pump,B - Important,2016,10,Good,In Date,1
291,AST-04-00291,Control Valve,B - Important,2018,8,Overdue,In Date,4
292,AST-10-00292,Heat Exchanger,B - Important,2000,26,overdue,Overdue,10
293,AST-03-00293,Firewater Pump,B - Important,2015,11,Good,Due within 30 days,3
294,AST-03-00294,Separator,C - General,2025,1,Maintenance Due,In Date,3
295,AST-10-00295,Centrifugal Pump,B - Important,2025,1,Good,Overdue,10
296,AST-03-00296,Electrical Switchgear,A - Critical,2003,23,Overdue,In Date,3
297,AST-09-00297,Truck,C - General,2004,22,Good,Due within 30 days,9
298,AST-05-00298,Separator,B - Important,2001,25,Good,In Date,5
299,AST-06-00299,Compressor,B - Important,2015,11,Good,In Date,6
300,AST-01-00300,Firewater Pump,A - Critical,2000,26,Overdue,Overdue,1
301,AST-01-00301,Storage Tank,C - General,2003,23,Overdue,In Date,1
302,AST-01-00302,Gas Detector,A - Critical,2009,17,Good,In Date,1
303,AST-04-00303,Control Valve,C - General,2006,20,Overdue,Overdue,4
304,AST-01-00304,Heat Exchanger,B - Important,2004,22,Good,Overdue,1
305,AST-06-00305,Forklift,C - General,2004,22,Overdue,Due within 30 days,6
306,AST-04-00306,Centrifugal Pump,C - General,2005,21,Maintenance Due,Overdue,4
307,AST-03-00307,Diesel Generator,B - Important,2008,18,Good,In Date,3
308,AST-01-00308,Crane,B - Important,2013,13,Monitor,In Date,1
309,AST-04-00309,Crane,C - General,2021,5,Overdue,Overdue,4
310,AST-04-00310,Truck,A - Critical,2016,10,Good,In Date,4
311,AST-09-00311,Pipeline Segment,B - Important,2020,6,Good,In Date,9
312,AST-07-00312,Gas Detector,A - Critical,1999,27,Good,Due within 30 days,7
313,AST-07-00313,Truck,B - Important,2021,5,Good,In Date,7
314,AST-01-00314,Pipeline Segment,C - General,2017,9,Good,Due within 30 days,1
315,AST-02-00315,Firewater Pump,C - General,2018,8,Monitor,In Date,2
316,AST-11-00316,Control Valve,B - Important,2009,17,Good,In Date,11
317,AST-09-00317,Gas Detector,B - Important,2006,20,Good,Overdue,9
318,AST-08-00318,Heat Exchanger,B - Important,2008,18,Overdue,Overdue,8
319,AST-07-00319,Diesel Generator,B - Important,2017,9,Good,In Date,7
320,AST-04-00320,Gas Detector,B - Important,2022,4,Good,In Date,4
321,AST-06-00321,Firewater Pump,B - Important,2006,20,Monitor,Due within 30 days,6
322,AST-02-00322,Compressor,A - Critical,1998,28,Maintenance Due,Not Applicable,2
323,AST-10-00323,Crane,C - General,2007,19,Monitor,Overdue,10
324,AST-08-00324,Firewater Pump,A - Critical,2004,22,Monitor,In Date,8
325,AST-07-00325,Compressor,B - Important,2008,18,Overdue,Due within 30 days,7
326,AST-01-00326,Forklift,B - Important,2005,21,Maintenance Due,In Date,1
327,AST-09-00327,Diesel Generator,A - Critical,2022,4,Monitor,In Date,9
328,AST-04-00328,Pipeline Segment,A - Critical,2000,26,Good,In Date,4
329,AST-05-00329,Centrifugal Pump,A - Critical,2018,8,Monitor,Overdue,5
330,AST-05-00330,Gas Detector,A - Critical,2000,26,Good,Due within 30 days,5
331,AST-05-00331,Firewater Pump,A - Critical,2018,8,Good,In Date,5
332,AST-06-00332,Separator,C - General,2002,24,Good,In Date,6
333,AST-07-00333,Firewater Pump,C - General,2019,7,Good,In Date,7
334,AST-08-00334,Heat Exchanger,A - Critical,2009,17,Monitor,In Date,8
335,AST-04-00335,Pressure Vessel,B - Important,2004,22,Good,In Date,4
336,AST-10-00336,Pipeline Segment,B - Important,2000,26,Good,In Date,10
337,AST-11-00337,Heat Exchanger,B - Important,2019,7,Good,Not Applicable,11
338,AST-01-00338,Firewater Pump,B - Important,2010,16,Overdue,Due within 30 days,1
339,AST-01-00339,Diesel Generator,B - Important,1998,28,Overdue,Overdue,1
340,AST-05-00340,Diesel Generator,A - Critical,2012,14,Overdue,In Date,5
341,AST-02-00341,Centrifugal Pump,B - Important,2024,2,Good,In Date,2
342,AST-11-00342,Storage Tank,A - Critical,2006,20,Overdue,Not Applicable,11
343,AST-05-00343,Electrical Switchgear,A - Critical,2003,23,Good,In Date,5
344,AST-06-00344,Forklift,C - General,2026,0,Overdue,Overdue,6
345,AST-01-00345,Storage Tank,A - Critical,2016,10,Maintenance Due,Not Applicable,1
346,AST-08-00346,Compressor,B - Important,2024,2,Good,In Date,8
347,AST-09-00347,Truck,B - Important,2021,5,Monitor,In Date,9
348,AST-04-00348,Crane,A - Critical,2024,2,Maintenance Due,Overdue,4
349,AST-09-00349,Compressor,A - Critical,2012,14,Good,In Date,9
350,AST-02-00350,Gas Detector,B - Important,2018,8,Overdue,Overdue,2
351,AST-04-00351,Pipeline Segment,A - Critical,2016,10,Good,Overdue,4
352,AST-05-00352,Truck,C - General,2020,6,Good,In Date,5
353,AST-01-00353,Diesel Generator,A - Critical,2021,5,Good,In Date,1
354,AST-03-00354,Electrical Switchgear,A - Critical,2020,6,Overdue,Overdue,3
355,AST-04-00355,Storage Tank,B - Important,2002,24,Good,In Date,4
356,AST-09-00356,Compressor,A - Critical,1998,28,Good,In Date,9
357,AST-01-00357,Centrifugal Pump,A - Critical,2018,8,Good,Due within 30 days,1
358,AST-06-00358,Pressure Vessel,C - General,2021,5,Monitor,Overdue,6
359,AST-05-00359,Diesel Generator,A - Critical,2001,25,Good, Overdue ,5
